,DeepJet;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
106,0,comb,up_correlated,5,0.0,2.5,200,300,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)+0.00890352382858
107,0,comb,up_correlated,5,0.0,2.5,300,600,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)+0.0395221914946
108,0,comb,up_correlated,5,0.0,2.5,140,200,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)+0.00396696039152
109,0,comb,up_correlated,5,0.0,2.5,50,70,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)+0.00855100454055
110,0,comb,up_correlated,5,0.0,2.5,20,30,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)+0.0116721395546
111,0,comb,up_correlated,5,0.0,2.5,600,1000,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)+0.0450668814457
112,0,comb,up_correlated,5,0.0,2.5,30,50,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)+0.00523291795288
113,0,comb,up_uncorrelated,4,0.0,2.5,100,140,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)+0.0159229642085
114,0,comb,up_uncorrelated,4,0.0,2.5,70,100,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)+0.0138017507115
115,0,comb,up_uncorrelated,4,0.0,2.5,200,300,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)+0.0286034340771
116,0,comb,up_uncorrelated,4,0.0,2.5,300,600,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)+0.0394483719429
117,0,comb,up_uncorrelated,4,0.0,2.5,140,200,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)+0.0193018300295
118,0,comb,up_uncorrelated,4,0.0,2.5,50,70,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)+0.014952314403
119,0,comb,up_uncorrelated,4,0.0,2.5,20,30,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)+0.0225370433695
120,0,comb,up_uncorrelated,4,0.0,2.5,600,1000,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)+0.0492493659068
121,0,comb,up_uncorrelated,4,0.0,2.5,30,50,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)+0.0131138676247
122,0,comb,up_uncorrelated,5,0.0,2.5,100,140,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)+0.00636918568693
123,0,comb,up_uncorrelated,5,0.0,2.5,70,100,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)+0.00552070028676
124,0,comb,up_uncorrelated,5,0.0,2.5,200,300,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)+0.0114413739209
125,0,comb,up_uncorrelated,5,0.0,2.5,300,600,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)+0.0157793495046
126,0,comb,up_uncorrelated,5,0.0,2.5,140,200,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)+0.00772073176973
127,0,comb,up_uncorrelated,5,0.0,2.5,50,70,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)+0.0059809256711
128,0,comb,up_uncorrelated,5,0.0,2.5,20,30,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)+0.00901481728659
129,0,comb,up_uncorrelated,5,0.0,2.5,600,1000,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)+0.0196997459927
130,0,comb,up_uncorrelated,5,0.0,2.5,30,50,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)+0.00524554686386
131,0,mujets,central,4,0.0,2.5,20,1000,0,1,1.00637*(1.+0.00794967*x)/(1.+0.00820919*x)
132,0,mujets,central,5,0.0,2.5,20,1000,0,1,1.00637*(1.+0.00794967*x)/(1.+0.00820919*x)
133,0,mujets,down,4,0.0,2.5,20,30,0,1,1.00637*(1.+0.00794967*x)/(1.+0.00820919*x)-0.037244446575641632
134,0,mujets,down,4,0.0,2.5,30,50,0,1,1.00637*(1.+0.00794967*x)/(1.+0.00820919*x)-0.019818004220724106
135,0,mujets,down,4,0.0,2.5,50,70,0,1,1.00637*(1.+0.00794967*x)/(1.+0.00820919*x)-0.029683832079172134
136,0,mujets,down,4,0.0,2.5,70,100,0,1,1.00637*(1.+0.00794967*x)/(1.+0.00820919*x)-0.027753954753279686
137,0,mujets,down,4,0.0,2.5,100,140,0,1,1.00637*(1.+0.00794967*x)/(1.+0.00820919*x)-0.046425852924585342
138,0,mujets,down,4,0.0,2.5,140,200,0,1,1.00637*(1.+0.00794967*x)/(1.+0.00820919*x)-0.069903790950775146
139,0,mujets,down,4,0.0,2.5,200,300,0,1,1.00637*(1.+0.00794967*x)/(1.+0.00820919*x)-0.076427489519119263
140,0,mujets,down,4,0.0,2.5,300,600,0,1,1.00637*(1.+0.00794967*x)/(1.+0.00820919*x)-0.1151837483048439
141,0,mujets,down,4,0.0,2.5,600,1000,0,1,1.00637*(1.+0.00794967*x)/(1.+0.00820919*x)-0.125414177775383
142,0,mujets,down,5,0.0,2.5,20,30,0,1,1.00637*(1.+0.00794967*x)/(1.+0.00820919*x)-0.014897778630256653
143,0,mujets,down,5,0.0,2.5,30,50,0,1,1.00637*(1.+0.00794967*x)/(1.+0.00820919*x)-0.0079272016882896423
144,0,mujets,down,5,0.0,2.5,50,70,0,1,1.00637*(1.+0.00794967*x)/(1.+0.00820919*x)-0.011873533017933369
145,0,mujets,down,5,0.0,2.5,70,100,0,1,1.00637*(1.+0.00794967*x)/(1.+0.00820919*x)-0.011101582087576389
146,0,mujets,down,5,0.0,2.5,100,140,0,1,1.00637*(1.+0.00794967*x)/(1.+0.00820919*x)-0.018570341169834137
147,0,mujets,down,5,0.0,2.5,140,200,0,1,1.00637*(1.+0.00794967*x)/(1.+0.00820919*x)-0.027961514890193939
148,0,mujets,down,5,0.0,2.5,200,300,0,1,1.00637*(1.+0.00794967*x)/(1.+0.00820919*x)-0.030570995062589645
149,0,mujets,down,5,0.0,2.5,300,600,0,1,1.00637*(1.+0.00794967*x)/(1.+0.00820919*x)-0.046073500066995621
150,0,mujets,down,5,0.0,2.5,600,1000,0,1,1.00637*(1.+0.00794967*x)/(1.+0.00820919*x)-0.050165671855211258
151,0,mujets,down_correlated,4,0.0,2.5,100,140,0,1,1.00637*(1.+0.00794967*x)/(1.+0.00820919*x)-0.0435106363889
152,0,mujets,down_correlated,4,0.0,2.5,70,100,0,1,1.00637*(1.+0.00794967*x)/(1.+0.00820919*x)-0.0248743230585
153,0,mujets,down_correlated,4,0.0,2.5,200,300,0,1,1.00637*(1.+0.00794967*x)/(1.+0.00820919*x)-0.0701021425982
154,0,mujets,down_correlated,4,0.0,2.5,300,600,0,1,1.00637*(1.+0.00794967*x)/(1.+0.00820919*x)-0.1078448159
155,0,mujets,down_correlated,4,0.0,2.5,140,200,0,1,1.00637*(1.+0.00794967*x)/(1.+0.00820919*x)-0.0670121598981
156,0,mujets,down_correlated,4,0.0,2.5,50,70,0,1,1.00637*(1.+0.00794967*x)/(1.+0.00820919*x)-0.0262760543756
157,0,mujets,down_correlated,4,0.0,2.5,20,30,0,1,1.00637*(1.+0.00794967*x)/(1.+0.00820919*x)-0.0296133441367
158,0,mujets,down_correlated,4,0.0,2.5,600,1000,0,1,1.00637*(1.+0.00794967*x)/(1.+0.00820919*x)-0.115064839204
159,0,mujets,down_correlated,4,0.0,2.5,30,50,0,1,1.00637*(1.+0.00794967*x)/(1.+0.00820919*x)-0.014737254011
160,0,mujets,down_correlated,5,0.0,2.5,100,140,0,1,1.00637*(1.+0.00794967*x)/(1.+0.00820919*x)-0.01740425458
161,0,mujets,down_correlated,5,0.0,2.5,70,100,0,1,1.00637*(1.+0.00794967*x)/(1.+0.00820919*x)-0.00994972938683
162,0,mujets,down_correlated,5,0.0,2.5,200,300,0,1,1.00637*(1.+0.00794967*x)/(1.+0.00820919*x)-0.0280408563066
163,0,mujets,down_correlated,5,0.0,2.5,300,600,0,1,1.00637*(1.+0.00794967*x)/(1.+0.00820919*x)-0.0431379268741
164,0,mujets,down_correlated,5,0.0,2.5,140,200,0,1,1.00637*(1.+0.00794967*x)/(1.+0.00820919*x)-0.0268048623236
165,0,mujets,down_correlated,5,0.0,2.5,50,70,0,1,1.00637*(1.+0.00794967*x)/(1.+0.00820919*x)-0.0105104220587
166,0,mujets,down_correlated,5,0.0,2.5,20,30,0,1,1.00637*(1.+0.00794967*x)/(1.+0.00820919*x)-0.0118453375185
167,0,mujets,down_correlated,5,0.0,2.5,600,1000,0,1,1.00637*(1.+0.00794967*x)/(1.+0.00820919*x)-0.0460259368183
168,0,mujets,down_correlated,5,0.0,2.5,30,50,0,1,1.00637*(1.+0.00794967*x)/(1.+0.00820919*x)-0.00589490160412
169,0,mujets,down_uncorrelated,4,0.0,2.5,100,140,0,1,1.00637*(1.+0.00794967*x)/(1.+0.00820919*x)-0.0161921073616
170,0,mujets,down_uncorrelated,4,0.0,2.5,70,100,0,1,1.00637*(1.+0.00794967*x)/(1.+0.00820919*x)-0.0123105668768
171,0,mujets,down_uncorrelated,4,0.0,2.5,200,300,0,1,1.00637*(1.+0.00794967*x)/(1.+0.00820919*x)-0.0304442237106
172,0,mujets,down_uncorrelated,4,0.0,2.5,300,600,0,1,1.00637*(1.+0.00794967*x)/(1.+0.00820919*x)-0.0404572806434
173,0,mujets,down_uncorrelated,4,0.0,2.5,140,200,0,1,1.00637*(1.+0.00794967*x)/(1.+0.00820919*x)-0.0198974977092
174,0,mujets,down_uncorrelated,4,0.0,2.5,50,70,0,1,1.00637*(1.+0.00794967*x)/(1.+0.00820919*x)-0.0138093755599
175,0,mujets,down_uncorrelated,4,0.0,2.5,20,30,0,1,1.00637*(1.+0.00794967*x)/(1.+0.00820919*x)-0.0225875773329
176,0,mujets,down_uncorrelated,4,0.0,2.5,600,1000,0,1,1.00637*(1.+0.00794967*x)/(1.+0.00820919*x)-0.0498878619101
177,0,mujets,down_uncorrelated,4,0.0,2.5,30,50,0,1,1.00637*(1.+0.00794967*x)/(1.+0.00820919*x)-0.013250156056
178,0,mujets,down_uncorrelated,5,0.0,2.5,100,140,0,1,1.00637*(1.+0.00794967*x)/(1.+0.00820919*x)-0.00647684287899
179,0,mujets,down_uncorrelated,5,0.0,2.5,70,100,0,1,1.00637*(1.+0.00794967*x)/(1.+0.00820919*x)-0.00492422684042
180,0,mujets,down_uncorrelated,5,0.0,2.5,200,300,0,1,1.00637*(1.+0.00794967*x)/(1.+0.00820919*x)-0.0121776893008
181,0,mujets,down_uncorrelated,5,0.0,2.5,300,600,0,1,1.00637*(1.+0.00794967*x)/(1.+0.00820919*x)-0.016182913008
182,0,mujets,down_uncorrelated,5,0.0,2.5,140,200,0,1,1.00637*(1.+0.00794967*x)/(1.+0.00820919*x)-0.00795899935712
183,0,mujets,down_uncorrelated,5,0.0,2.5,50,70,0,1,1.00637*(1.+0.00794967*x)/(1.+0.00820919*x)-0.00552375003736
184,0,mujets,down_uncorrelated,5,0.0,2.5,20,30,0,1,1.00637*(1.+0.00794967*x)/(1.+0.00820919*x)-0.00903503111173
185,0,mujets,down_uncorrelated,5,0.0,2.5,600,1000,0,1,1.00637*(1.+0.00794967*x)/(1.+0.00820919*x)-0.0199551440157
186,0,mujets,down_uncorrelated,5,0.0,2.5,30,50,0,1,1.00637*(1.+0.00794967*x)/(1.+0.00820919*x)-0.00530006242271
187,0,mujets,up,4,0.0,2.5,20,30,0,1,1.00637*(1.+0.00794967*x)/(1.+0.00820919*x)+0.037244446575641632
188,0,mujets,up,4,0.0,2.5,30,50,0,1,1.00637*(1.+0.00794967*x)/(1.+0.00820919*x)+0.019818004220724106
189,0,mujets,up,4,0.0,2.5,50,70,0,1,1.00637*(1.+0.00794967*x)/(1.+0.00820919*x)+0.029683832079172134
